Label,"Start point, trench index",x_start,y_start,lon_start,lat_start,x_end,y_end,lon_end,lat_end
A,10,-3883.13, 3681.85824276,136.52,32.87,-3725.00,3410.00,137.53,37.56
B,8,-3838.24,3757.10,135.61,32.54,-3695.00,3490.00,136.63,37.08
C,5,-3791.48,3832.60,134.69,32.20,-3650.00,3600.00,135.40,36.42
D,3,-3738.65,3939.72,133.50,31.52,-3570.00,3710.00,133.90,36.09
E,0,-3721.64,4015.63,132.82,30.75,-3500.00,3890.00,131.98,34.78
F,NA,-3700.00,4140.00,131.79,29.36,-3380.00,3990.00,130.27,34.84
G,NA,-3700.00,4175.00,131.55,28.88,-3330.00,4140.00,128.81,33.49
H,NA,-3665.00,4300.00,130.44,27.52,-3370.00,4225.00,128.58,31.97
I,NA,-3555.00,4550.00,128.00,25.00,-3385.00,4245.00,128.57,31.55
J,NA,-3495.00,4655.00,126.90,23.98,-3355.00,4355.00,127.61,30.36
K,NA,-3420.00,4740.00,125.81,23.45,-3330.00,4445.00,126.84,29.34
L,NA,-3340.00,4805.00,124.80,23.29,-3260.00,4555.00,125.59,28.45